Date,Rate
2019-12-09,14021
2019-12-10,14004
2019-12-11,14025
2019-12-12,14042
2019-12-13,13982
2019-12-16,14004
2019-12-17,14018
2019-12-18,14007
2019-12-19,13983
2019-12-20,13993
2019-12-23,13978
2019-12-26,13982
2019-12-27,13956
2019-12-30,13945
2019-12-31,13901
2020-01-02,13895
2020-01-03,13899
2020-01-06,13961
2020-01-07,13919
2020-01-08,13934
2020-01-09,13860
2020-01-10,13812
2020-01-13,13708
2020-01-14,13654
2020-01-15,13706
2020-01-16,13658
2020-01-17,13648
2020-01-20,13654
2020-01-21,13658
2020-01-22,13678
2020-01-23,13626
2020-01-24,13632
2020-01-27,13612
2020-01-28,13647
2020-01-29,13634
2020-01-30,13652
2020-01-31,13662
2020-02-03,13726
2020-02-04,13760
2020-02-05,13717
2020-02-06,13662
2020-02-07,13647
2020-02-10,13708
2020-02-11,13686
2020-02-12,13659
2020-02-13,13679
2020-02-14,13707
2020-02-17,13693
2020-02-18,13676
2020-02-19,13717
2020-02-20,13735
2020-02-21,13777
2020-02-24,13863
2020-02-25,13893
2020-02-26,13966
2020-02-27,14018
2020-02-28,14234
2020-03-02,14413
2020-03-03,14222
2020-03-04,14171
2020-03-05,14168
2020-03-06,14267
2020-03-09,14342
2020-03-10,14411
2020-03-11,14323
2020-03-12,14490
2020-03-13,14815
2020-03-16,14818
2020-03-17,15083
2020-03-18,15223
2020-03-19,15712
2020-03-20,16273
2020-03-23,16608
2020-03-24,16486
2020-03-26,16328
2020-03-27,16230
2020-03-30,16336
2020-03-31,16367
2020-04-01,16413
2020-04-02,16741
2020-04-03,16464
2020-04-06,16556
2020-04-07,16410
2020-04-08,16245
2020-04-09,16241
2020-04-13,15840
2020-04-14,15722
2020-04-15,15707
2020-04-16,15787
2020-04-17,15503
2020-04-20,15543
2020-04-21,15643
2020-04-22,15567
2020-04-23,15630
2020-04-24,15553
2020-04-27,15591
2020-04-28,15488
2020-04-29,15415
2020-04-30,15157
2020-05-04,15073
2020-05-05,15104
2020-05-06,15127
2020-05-08,15009
2020-05-11,14936
2020-05-12,14978
2020-05-13,14887
2020-05-14,14946
2020-05-15,14909
2020-05-18,14885
2020-05-19,14823
2020-05-20,14785
2020-05-26,14774
2020-05-27,14761
2020-05-28,14769
2020-05-29,14733
2020-06-02,14502
2020-06-03,14245
2020-06-04,14165
2020-06-05,14100
2020-06-08,13956
2020-06-09,13973
2020-06-10,14083
2020-06-11,14014
2020-06-12,14257
2020-06-15,14228
2020-06-16,14155
2020-06-17,14234
2020-06-18,14186
2020-06-19,14242
2020-06-22,14209
2020-06-23,14265
2020-06-24,14160
2020-06-25,14231
2020-06-26,14239
2020-06-29,14369
2020-06-30,14302
2020-07-01,14341
2020-07-02,14516
2020-07-03,14566
2020-07-06,14547
2020-07-07,14456
2020-07-08,14460
2020-07-09,14446
2020-07-10,14501
2020-07-13,14486
2020-07-14,14512
2020-07-15,14616
2020-07-16,14632
2020-07-17,14780
2020-07-20,14832
2020-07-21,14813
2020-07-22,14655
2020-07-23,14669
2020-07-24,14614
2020-07-27,14605
2020-07-28,14543
2020-07-29,14570
2020-07-30,14653
2020-08-03,14713
2020-08-04,14697
2020-08-05,14623
2020-08-06,14587
2020-08-07,14647
2020-08-10,14750
2020-08-11,14728
2020-08-12,14777
2020-08-13,14877
2020-08-14,14917
2020-08-18,14907
2020-08-19,14786
2020-08-24,14794
2020-08-25,14632
2020-08-26,14636
2020-08-27,14714
2020-08-28,14702
2020-08-31,14554
2020-09-01,14615
2020-09-02,14804
2020-09-03,14818
2020-09-04,14792
2020-09-07,14754
2020-09-08,14798
2020-09-09,14853
2020-09-10,14871
2020-09-11,14979
2020-09-14,14974
2020-09-15,14870
2020-09-16,14844
2020-09-17,14878
2020-09-18,14768
2020-09-21,14723
2020-09-22,14782
2020-09-23,14835
2020-09-24,14949
2020-09-25,14951
2020-09-28,14959
2020-09-29,14920
2020-09-30,14918
2020-10-01,14876
2020-10-02,14890
2020-10-05,14867
2020-10-06,14712
2020-10-07,14784
2020-10-08,14750
2020-10-09,14737
2020-10-12,14746
2020-10-13,14793
2020-10-14,14780
2020-10-15,14760
2020-10-16,14766
2020-10-19,14741
2020-10-20,14729
2020-10-21,14658
2020-10-22,14697
2020-10-23,14738
2020-10-26,14697
2020-10-27,14690
2020-11-02,14718
2020-11-03,14609
2020-11-04,14557
2020-11-05,14439
2020-11-06,14321
2020-11-09,14172
2020-11-10,14015
2020-11-11,14076
2020-11-12,14187
2020-11-13,14222
2020-11-16,14139
2020-11-17,14073
2020-11-18,14118
2020-11-19,14167
2020-11-20,14228
2020-11-23,14164
2020-11-24,14196
2020-11-25,14169
2020-11-26,14130
2020-11-27,14145
2020-11-30,14128
2020-12-01,14178
2020-12-02,14164
2020-12-03,14177
2020-12-04,14182
2020-12-07,14135
2020-12-08,14164
2020-12-10,14130
2020-12-11,14102
2020-12-14,14158
2020-12-15,14171
2020-12-16,14151
2020-12-17,14152
2020-12-18,14146
2020-12-21,14180
2020-12-22,14218
2020-12-23,14282
2020-12-28,14184
2020-12-29,14169
2020-12-30,14105
2021-01-04,13903
2021-01-05,13945
2021-01-06,13926
2021-01-07,13938
2021-01-08,14058
2021-01-11,14155
2021-01-12,14231
2021-01-13,14109
2021-01-14,14119
2021-01-15,14068
2021-01-18,14080
2021-01-19,14086
2021-01-20,14065
2021-01-21,14039
2021-01-22,14054
2021-01-25,14082
2021-01-26,14086
2021-01-27,14091
2021-01-28,14119
2021-01-29,14084
2021-02-01,14042
2021-02-02,14044
2021-02-03,14017
2021-02-04,14036
2021-02-05,14062
2021-02-08,14000
2021-02-09,14000
2021-02-10,13989
2021-02-11,14011
2021-02-15,13946
2021-02-16,13875
2021-02-17,14019
2021-02-18,14059
2021-02-19,14085
2021-02-22,14098
2021-02-23,14126
2021-02-24,14089
2021-02-25,14104
2021-02-26,14229
2021-03-01,14300
2021-03-02,14307
2021-03-03,14334
2021-03-04,14299
2021-03-05,14371
2021-03-08,14390
2021-03-09,14468
2021-03-10,14421
2021-03-12,14371
2021-03-15,14418
2021-03-16,14424
2021-03-17,14459
2021-03-18,14412
2021-03-19,14476
2021-03-22,14456
2021-03-23,14421
2021-03-24,14455
2021-03-25,14464
2021-03-26,14446
2021-03-29,14434
2021-03-30,14481
2021-03-31,14572
2021-04-01,14577
2021-04-05,14533
2021-04-06,14519
2021-04-07,14513
2021-04-08,14580
2021-04-09,14580
2021-04-12,14631
2021-04-13,14648
2021-04-14,14633
2021-04-15,14646
2021-04-16,14592
2021-04-19,14568
2021-04-20,14508
2021-04-21,14549
2021-04-22,14530
2021-04-23,14548
2021-04-26,14489
2021-04-27,14497
2021-04-28,14510
2021-04-29,14468
2021-04-30,14453
2021-05-03,14467
2021-05-04,14431
2021-05-05,14439
2021-05-06,14364
2021-05-07,14289
2021-05-10,14198
2021-05-11,14203
2021-05-17,14284
2021-05-18,14300
2021-05-19,14313
2021-05-20,14396
2021-05-21,14375
2021-05-24,14362
2021-05-25,14335
2021-05-27,14312
2021-05-28,14310
2021-05-31,14292
2021-06-02,14276
2021-06-03,14297
2021-06-04,14316
